Constituency_No,Year,Position,Sex,Party,Votes,Age,Candidate_Type,Constituency_Name,Constituency_Type,Vote_Share_Percentage,Margin,Margin_Percentage,Incumbent
123,1972,1,m,FBL,22993,48.6,gen,NAGPUR NORTH,SC,33.09,1858,2.67,False
123,1972,2,m,INC,21135,48.6,gen,NAGPUR NORTH,SC,30.41,5012,7.21,False
123,1972,3,m,RPK,16123,48.6,gen,NAGPUR NORTH,SC,23.2,12577,18.1,False
124,1972,1,m,INC,26944,48.6,gen,NAGPUR EAST,GEN,40.04,4492,6.67,False
124,1972,2,m,FBL,22452,48.6,gen,NAGPUR EAST,GEN,33.36,8383,12.46,False
124,1972,3,m,BJS,14069,48.6,gen,NAGPUR EAST,GEN,20.91,11835,17.59,False
125,1972,1,m,INC,29926,48.6,gen,NAGPUR CENTRAL,GEN,46.63,18688,29.12,False
125,1972,2,m,FBL,11238,48.6,gen,NAGPUR CENTRAL,GEN,17.51,3288,5.12,False
125,1972,3,m,BJS,7950,48.6,gen,NAGPUR CENTRAL,GEN,12.39,2352,3.66,False
126,1972,1,m,INC,25410,48.6,gen,NAGPUR WEST,GEN,39.71,4514,7.05,False
126,1972,2,m,BJS,20896,48.6,gen,NAGPUR WEST,GEN,32.65,6923,10.82,False
126,1972,3,m,IND,13973,48.6,gen,NAGPUR WEST,GEN,21.84,11344,17.73,False
127,1972,1,m,INC,32538,48.6,gen,KALMESHWAR,GEN,52.2,5078,8.15,False
127,1972,2,m,FBL,27460,48.6,gen,KALMESHWAR,GEN,44.05,26382,42.32,True
127,1972,3,m,IND,1078,48.6,gen,KALMESHWAR,GEN,1.73,599,0.96,False
128,1972,1,m,INC,35663,48.6,gen,KATOL,GEN,53.81,8325,12.56,False
128,1972,2,m,IND,27338,48.6,gen,KATOL,GEN,41.25,25568,38.58,False
128,1972,3,m,IND,1770,48.6,gen,KATOL,GEN,2.67,1076,1.62,False
129,1972,1,m,INC,29784,48.6,gen,SAONER,GEN,50.83,4766,8.13,False
129,1972,2,m,FBL,25018,48.6,gen,SAONER,GEN,42.7,22905,39.09,False
129,1972,3,m,RPI,2113,48.6,gen,SAONER,GEN,3.61,435,0.74,False
130,1972,1,m,INC,17424,48.6,gen,RAMTEK,GEN,37.26,3954,8.45,False
130,1972,2,m,FBL,13470,48.6,gen,RAMTEK,GEN,28.8,6538,13.98,False
130,1972,3,m,RPK,6932,48.6,gen,RAMTEK,GEN,14.82,3171,6.78,False
131,1972,1,m,INC,27334,48.6,gen,TUMSAR,GEN,43.59,1403,2.24,False
131,1972,2,m,RPI,25931,48.6,gen,TUMSAR,GEN,41.35,19763,31.52,False
131,1972,3,m,IND,6168,48.6,gen,TUMSAR,GEN,9.84,3000,4.78,False
132,1972,1,m,IND,41511,48.6,gen,BHANDARA,GEN,59.31,17287,24.7,False
132,1972,2,m,INC,24224,48.6,gen,BHANDARA,GEN,34.61,20639,29.49,False
132,1972,3,m,RPK,3585,48.6,gen,BHANDARA,GEN,5.12,2920,4.17,False
133,1972,1,m,INC,26851,48.6,gen,TIRORA,GEN,41.32,1948,3.0,False
133,1972,2,m,IND,24903,48.6,gen,TIRORA,GEN,38.32,14668,22.57,False
133,1972,3,m,RPI,10235,48.6,gen,TIRORA,GEN,15.75,8898,13.69,False
134,1972,1,m,INC,29290,48.6,gen,GONDIA,GEN,53.18,16892,30.67,False
134,1972,2,m,CPI,12398,48.6,gen,GONDIA,GEN,22.51,4930,8.95,False
134,1972,3,m,BJS,7468,48.6,gen,GONDIA,GEN,13.56,2144,3.89,False
135,1972,1,m,INC,26201,48.6,gen,GOREGAON,GEN,47.97,9589,17.56,False
135,1972,2,m,RPI,16612,48.6,gen,GOREGAON,GEN,30.41,4805,8.8,False
135,1972,3,m,BJS,11807,48.6,gen,GOREGAON,GEN,21.62,0,0.0,False
136,1972,1,m,INC,31000,48.6,gen,JAMGAON,GEN,54.83,10582,18.72,False
136,1972,2,m,BJS,20418,48.6,gen,JAMGAON,GEN,36.11,15296,27.05,False
136,1972,3,m,RPI,5122,48.6,gen,JAMGAON,GEN,9.06,0,0.0,False
137,1972,1,m,INC,34326,48.6,gen,SAKOLI,GEN,50.13,13081,19.1,False
137,1972,2,m,BJS,21245,48.6,gen,SAKOLI,GEN,31.03,9895,14.45,False
137,1972,3,m,RPK,11350,48.6,gen,SAKOLI,GEN,16.58,9800,14.31,False
138,1972,1,m,INC,30414,48.6,gen,ARJUNI MORGAON,GEN,46.31,13396,20.4,False
138,1972,2,m,BJS,17018,48.6,gen,ARJUNI MORGAON,GEN,25.92,6191,9.43,False
138,1972,3,m,RPK,10827,48.6,gen,ARJUNI MORGAON,GEN,16.49,7365,11.22,False
139,1972,1,m,INC,21389,48.6,gen,ADYAR,GEN,32.97,90,0.14,False
139,1972,2,m,FBL,21299,48.6,gen,ADYAR,GEN,32.83,10050,15.49,False
139,1972,3,m,IND,11249,48.6,gen,ADYAR,GEN,17.34,5699,8.78,False
140,1972,1,m,INC,31439,48.6,gen,ARMORI,ST,71.19,22747,51.51,False
140,1972,2,m,SOP,8692,48.6,gen,ARMORI,ST,19.68,4664,10.56,False
140,1972,3,m,IND,4028,48.6,gen,ARMORI,ST,9.12,0,0.0,False
141,1972,1,m,IND,24832,48.6,gen,GADCHIROLI,ST,57.46,7130,16.5,False
141,1972,2,m,INC,17702,48.6,gen,GADCHIROLI,ST,40.96,17023,39.39,False
141,1972,3,m,IND,679,48.6,gen,GADCHIROLI,ST,1.57,0,0.0,False
142,1972,1,m,INC,22733,48.6,gen,SIRONCHA,SC,45.68,5069,10.19,False
142,1972,2,m,RPK,17664,48.6,gen,SIRONCHA,SC,35.5,12422,24.96,False
142,1972,3,m,IND,5242,48.6,gen,SIRONCHA,SC,10.53,1120,2.25,False
143,1972,1,m,INC,27079,48.6,gen,RAJURA,GEN,51.07,7344,13.85,False
143,1972,2,m,IND,19735,48.6,gen,RAJURA,GEN,37.22,13522,25.5,False
143,1972,3,m,RPI,6213,48.6,gen,RAJURA,GEN,11.72,0,0.0,False
144,1972,1,m,INC,41514,48.6,gen,CHANDA,GEN,64.3,25735,39.86,False
144,1972,2,m,IND,15779,48.6,gen,CHANDA,GEN,24.44,12493,19.35,False
144,1972,3,m,RPI,3286,48.6,gen,CHANDA,GEN,5.09,336,0.52,False
145,1972,1,m,INC,37482,48.6,gen,SAOLI,GEN,55.03,20673,30.35,False
145,1972,2,m,BJS,16809,48.6,gen,SAOLI,GEN,24.68,11469,16.84,False
145,1972,3,m,NCO,5340,48.6,gen,SAOLI,GEN,7.84,371,0.54,False
146,1972,1,m,INC,30963,48.6,gen,BRAHMAPURI,GEN,44.39,16651,23.87,False
146,1972,2,m,IND,14312,48.6,gen,BRAHMAPURI,GEN,20.52,552,0.79,False
146,1972,3,m,FBL,13760,48.6,gen,BRAHMAPURI,GEN,19.73,8194,11.75,False
147,1972,1,m,INC,20934,48.6,gen,CHIMUR,GEN,33.59,245,0.39,False
147,1972,2,m,IND,20689,48.6,gen,CHIMUR,GEN,33.2,14304,22.96,False
147,1972,3,m,SOP,6385,48.6,gen,CHIMUR,GEN,10.25,864,1.39,False
148,1972,1,m,INC,39801,48.6,gen,BHADRAWATI,GEN,68.62,22413,38.64,False
148,1972,2,m,IND,17388,48.6,gen,BHADRAWATI,GEN,29.98,16571,28.57,False
148,1972,3,m,IND,817,48.6,gen,BHADRAWATI,GEN,1.41,0,0.0,False
149,1972,1,m,IND,24863,48.6,gen,WANI,GEN,44.32,94,0.17,False
149,1972,2,m,INC,24769,48.6,gen,WANI,GEN,44.15,18633,33.22,False
149,1972,3,m,CPI,6136,48.6,gen,WANI,GEN,10.94,5806,10.35,False
150,1972,1,m,INC,26742,48.6,gen,RALFGAON,ST,53.58,6611,13.25,False
150,1972,2,m,FBL,20131,48.6,gen,RALFGAON,ST,40.34,17878,35.82,False
150,1972,3,m,IND,2253,48.6,gen,RALFGAON,ST,4.51,1470,2.95,False
151,1972,1,m,INC,42105,48.6,gen,KELAPUR,GEN,62.96,19493,29.15,False
151,1972,2,m,FBL,22612,48.6,gen,KELAPUR,GEN,33.81,20728,30.99,False
151,1972,3,m,RPI,1884,48.6,gen,KELAPUR,GEN,2.82,1681,2.51,False
152,1972,1,m,FBL,35567,48.6,gen,YEOTMAL,GEN,55.32,9003,14.0,False
152,1972,2,m,INC,26564,48.6,gen,YEOTMAL,GEN,41.32,25273,39.31,False
152,1972,3,m,BJS,1291,48.6,gen,YEOTMAL,GEN,2.01,903,1.4,False
153,1972,1,m,INC,21261,48.6,gen,DARWHA,GEN,33.61,3749,5.93,False
153,1972,2,m,FBL,17512,48.6,gen,DARWHA,GEN,27.68,1803,2.85,False
153,1972,3,m,IND,15709,48.6,gen,DARWHA,GEN,24.83,8541,13.5,False
154,1972,1,m,INC,33753,48.6,gen,DIGRAS,GEN,46.35,3484,4.78,False
154,1972,2,m,FBL,30269,48.6,gen,DIGRAS,GEN,41.56,28166,38.68,False
154,1972,3,m,IND,2103,48.6,gen,DIGRAS,GEN,2.89,70,0.1,False
155,1972,1,m,INC,50772,48.6,gen,PUSAD,GEN,68.04,28632,38.37,False
155,1972,2,m,FBL,22140,48.6,gen,PUSAD,GEN,29.67,20797,27.87,False
155,1972,3,m,RPI,1343,48.6,gen,PUSAD,GEN,1.8,972,1.3,False
156,1972,1,m,INC,31589,48.6,gen,UMARKHED,GEN,52.49,9414,15.64,False
156,1972,2,m,IND,22175,48.6,gen,UMARKHED,GEN,36.85,19384,32.21,False
156,1972,3,m,IND,2791,48.6,gen,UMARKHED,GEN,4.64,1206,2.0,False
157,1972,1,m,INC,31563,48.6,gen,KINWAT,GEN,46.4,12983,19.09,False
157,1972,2,m,IND,18580,48.6,gen,KINWAT,GEN,27.31,11341,16.67,False
157,1972,3,m,PWP,7239,48.6,gen,KINWAT,GEN,10.64,3122,4.59,False
158,1972,1,m,INC,29519,48.6,gen,HADGAON,GEN,58.03,13038,25.63,False
158,1972,2,m,CPI,16481,48.6,gen,HADGAON,GEN,32.4,14684,28.87,False
158,1972,3,m,IND,1797,48.6,gen,HADGAON,GEN,3.53,316,0.62,False
159,1972,1,m,INC,25040,48.6,gen,NANDED,GEN,44.69,14398,25.7,False
159,1972,2,m,IND,10642,48.6,gen,NANDED,GEN,18.99,5039,8.99,False
159,1972,3,m,CPI,5603,48.6,gen,NANDED,GEN,10.0,1637,2.92,False
160,1972,1,m,INC,45803,48.6,gen,BHOKAR,GEN,72.41,32632,51.59,False
160,1972,2,m,RPI,13171,48.6,gen,BHOKAR,GEN,20.82,11457,18.11,False
160,1972,3,m,CPI,1714,48.6,gen,BHOKAR,GEN,2.71,243,0.38,False
161,1972,1,m,INC,26080,48.6,gen,BILLOLI,GEN,46.2,5835,10.34,False
161,1972,2,m,SOP,20245,48.6,gen,BILLOLI,GEN,35.86,14883,26.36,False
161,1972,3,m,CPM,5362,48.6,gen,BILLOLI,GEN,9.5,2992,5.3,False
162,1972,1,m,INC,23318,48.6,gen,DEGLOOR,SC,55.51,15676,37.32,False
162,1972,2,m,SOP,7642,48.6,gen,DEGLOOR,SC,18.19,1882,4.48,False
162,1972,3,m,RPI,5760,48.6,gen,DEGLOOR,SC,13.71,3906,9.3,False
163,1972,1,m,PWP,34421,48.6,gen,KANDHAR,GEN,58.3,12555,21.26,False
163,1972,2,m,INC,21866,48.6,gen,KANDHAR,GEN,37.03,19108,32.36,False
163,1972,3,m,RPI,2758,48.6,gen,KANDHAR,GEN,4.67,0,0.0,False
164,1972,1,m,INC,16750,48.6,gen,GANGAKHED,SC,55.84,6366,21.22,False
164,1972,2,m,RPI,10384,48.6,gen,GANGAKHED,SC,34.62,8208,27.36,False
164,1972,3,m,RPK,2176,48.6,gen,GANGAKHED,SC,7.25,1490,4.97,False
165,1972,1,m,INC,26293,48.6,gen,PARBHANI,GEN,51.29,6965,13.59,False
165,1972,2,m,PWP,19328,48.6,gen,PARBHANI,GEN,37.7,17014,33.19,False
165,1972,3,m,BJS,2314,48.6,gen,PARBHANI,GEN,4.51,474,0.92,False
166,1972,1,m,INC,18308,48.6,gen,BASMATH,GEN,49.72,4097,11.13,False
166,1972,2,m,PWP,14211,48.6,gen,BASMATH,GEN,38.6,10724,29.13,False
166,1972,3,m,INC,3487,48.6,gen,BASMATH,GEN,9.47,3033,8.24,False
167,1972,1,m,CPM,18217,48.6,gen,KALAMNURI,GEN,46.5,2041,5.21,False
167,1972,2,m,INC,16176,48.6,gen,KALAMNURI,GEN,41.29,13418,34.25,False
167,1972,3,m,RPI,2758,48.6,gen,KALAMNURI,GEN,7.04,1455,3.71,False
168,1972,1,m,INC,19706,48.6,gen,HINGOLI,GEN,45.29,3731,8.58,False
168,1972,2,m,SOP,15975,48.6,gen,HINGOLI,GEN,36.72,13064,30.03,False
168,1972,3,m,BJS,2911,48.6,gen,HINGOLI,GEN,6.69,271,0.62,False
169,1972,1,m,PWP,26306,48.6,gen,JINTUR,GEN,62.09,15747,37.17,False
169,1972,2,m,INC,10559,48.6,gen,JINTUR,GEN,24.92,6832,16.13,False
169,1972,3,m,IND,3727,48.6,gen,JINTUR,GEN,8.8,1952,4.61,False
170,1972,1,m,INC,22584,48.6,gen,PATHRI,GEN,48.72,3081,6.65,False
170,1972,2,m,PWP,19503,48.6,gen,PATHRI,GEN,42.07,16479,35.55,False
170,1972,3,m,CPI,3024,48.6,gen,PATHRI,GEN,6.52,1776,3.83,False
171,1972,1,m,PWP,27431,48.6,gen,PARTUR,GEN,64.6,12400,29.2,False
171,1972,2,m,INC,15031,48.6,gen,PARTUR,GEN,35.4,0,0.0,False
172,1972,1,m,INC,24786,48.6,gen,AMBAD,GEN,48.85,819,1.61,False
172,1972,2,m,IND,23967,48.6,gen,AMBAD,GEN,47.24,21981,43.32,False
172,1972,3,m,BJS,1986,48.6,gen,AMBAD,GEN,3.91,0,0.0,False
173,1972,1,m,INC,22062,48.6,gen,JALNA SOUTH,GEN,47.76,12343,26.72,False
173,1972,2,m,IND,9719,48.6,gen,JALNA SOUTH,GEN,21.04,3909,8.46,False
173,1972,3,m,SOP,5810,48.6,gen,JALNA SOUTH,GEN,12.58,1712,3.71,False
174,1972,1,m,IND,15081,48.6,gen,JALNA NORTH,GEN,42.7,819,2.32,False
174,1972,2,m,INC,14262,48.6,gen,JALNA NORTH,GEN,40.38,9753,27.61,False
174,1972,3,m,RPI,4509,48.6,gen,JALNA NORTH,GEN,12.77,3650,10.33,False
175,1972,1,m,INC,30817,48.6,gen,BHOKARDAN,GEN,67.54,16008,35.09,False
175,1972,2,m,BJS,14809,48.6,gen,BHOKARDAN,GEN,32.46,0,0.0,False
176,1972,1,m,INC,25868,48.6,gen,SILLOD,GEN,68.88,21044,56.03,False
176,1972,2,m,SOP,4824,48.6,gen,SILLOD,GEN,12.84,921,2.45,False
176,1972,3,m,IND,3903,48.6,gen,SILLOD,GEN,10.39,941,2.51,False
177,1972,1,m,INC,25765,48.6,gen,KANNAD,GEN,55.65,5229,11.29,False
177,1972,2,m,SOP,20536,48.6,gen,KANNAD,GEN,44.35,0,0.0,False
178,1972,1,m,INC,33404,48.6,gen,VAIJAPUR,GEN,86.08,28000,72.15,False
178,1972,2,m,IND,5404,48.6,gen,VAIJAPUR,GEN,13.92,0,0.0,False
179,1972,1,m,INC,28812,48.6,gen,GANGAPUR,GEN,68.39,20287,48.15,False
179,1972,2,m,CPI,8525,48.6,gen,GANGAPUR,GEN,20.23,6085,14.44,False
179,1972,3,m,RPK,2440,48.6,gen,GANGAPUR,GEN,5.79,86,0.2,False
180,1972,1,m,INC,32761,48.6,gen,AURANGABAD WEST,GEN,55.79,20120,34.26,False
180,1972,2,m,RPI,12641,48.6,gen,AURANGABAD WEST,GEN,21.53,1851,3.15,False
180,1972,3,m,BJS,10790,48.6,gen,AURANGABAD WEST,GEN,18.37,9259,15.77,False
181,1972,1,m,INC,20429,48.6,gen,AURANGABAD WEST,GEN,44.61,1744,3.81,False
181,1972,2,m,BJS,18685,48.6,gen,AURANGABAD WEST,GEN,40.8,12517,27.33,False
181,1972,3,m,RPI,6168,48.6,gen,AURANGABAD WEST,GEN,13.47,5654,12.35,False
182,1972,1,m,INC,40953,48.6,gen,PAITHAN,GEN,78.55,35715,68.5,False
182,1972,2,m,RPI,5238,48.6,gen,PAITHAN,GEN,10.05,1340,2.57,False
182,1972,3,m,NCO,3898,48.6,gen,PAITHAN,GEN,7.48,1848,3.54,False
184,1972,1,m,INC,17759,48.6,gen,MANJLEGAON,SC,53.36,11257,33.82,False
184,1972,2,m,CPM,6502,48.6,gen,MANJLEGAON,SC,19.54,1481,4.45,False
184,1972,3,m,IND,5021,48.6,gen,MANJLEGAON,SC,15.09,1597,4.8,False
185,1972,1,m,INC,19029,48.6,gen,BHIR,GEN,44.67,8052,18.9,False
185,1972,2,m,IND,10977,48.6,gen,BHIR,GEN,25.77,1303,3.06,False
185,1972,3,m,CPI,9674,48.6,gen,BHIR,GEN,22.71,7707,18.09,False
186,1972,1,m,INC,29044,48.6,gen,ASHTI,GEN,56.52,12948,25.2,False
186,1972,2,m,IND,16096,48.6,gen,ASHTI,GEN,31.32,12665,24.65,False
186,1972,3,m,CPI,3431,48.6,gen,ASHTI,GEN,6.68,614,1.19,False
187,1972,1,m,INC,29877,48.6,gen,CHAUSALA,GEN,55.91,19082,35.71,False
187,1972,2,m,CPI,10795,48.6,gen,CHAUSALA,GEN,20.2,2401,4.49,False
187,1972,3,m,IND,8394,48.6,gen,CHAUSALA,GEN,15.71,6113,11.44,False
188,1972,1,m,INC,38416,48.6,gen,KAIJ,GEN,67.59,19999,35.19,False
188,1972,2,m,SOP,18417,48.6,gen,KAIJ,GEN,32.41,0,0.0,False
189,1972,1,m,INC,29727,48.6,gen,RENAPUR,GEN,55.75,12975,24.33,False
189,1972,2,m,PWP,16752,48.6,gen,RENAPUR,GEN,31.42,13385,25.1,False
189,1972,3,m,RPI,3367,48.6,gen,RENAPUR,GEN,6.31,1328,2.49,False
190,1972,1,m,PWP,28742,48.6,gen,AHMEDPUR,GEN,50.4,1550,2.72,False
190,1972,2,m,INC,27192,48.6,gen,AHMEDPUR,GEN,47.68,26101,45.77,False
190,1972,3,m,RPI,1091,48.6,gen,AHMEDPUR,GEN,1.91,0,0.0,False
191,1972,1,m,RPI,22058,48.6,gen,UDGIR,SC,47.49,243,0.52,False
191,1972,2,m,INC,21815,48.6,gen,UDGIR,SC,46.97,19615,42.23,False
191,1972,3,m,BJS,2200,48.6,gen,UDGIR,SC,4.74,1829,3.94,False
192,1972,1,m,INC,38400,48.6,gen,LATUR,GEN,64.16,20526,34.3,False
192,1972,2,m,SOP,17874,48.6,gen,LATUR,GEN,29.87,15865,26.51,False
192,1972,3,m,RPI,2009,48.6,gen,LATUR,GEN,3.36,446,0.75,False
193,1972,1,m,INC,30177,48.6,gen,KALLAM,GEN,56.0,7658,14.21,False
193,1972,2,m,PWP,22519,48.6,gen,KALLAM,GEN,41.79,21330,39.58,False
193,1972,3,m,RPI,1189,48.6,gen,KALLAM,GEN,2.21,0,0.0,False
194,1972,1,m,RPI,22341,48.6,gen,PARENDA,GEN,36.35,2570,4.18,False
194,1972,2,m,INC,19771,48.6,gen,PARENDA,GEN,32.17,4633,7.54,False
194,1972,3,m,PWP,15138,48.6,gen,PARENDA,GEN,24.63,12933,21.04,False
195,1972,1,m,INC,34220,48.6,gen,OSMANABAD,GEN,63.17,15784,29.14,False
195,1972,2,m,PWP,18436,48.6,gen,OSMANABAD,GEN,34.03,16919,31.23,False
195,1972,3,m,IND,1517,48.6,gen,OSMANABAD,GEN,2.8,0,0.0,False
196,1972,1,m,INC,44153,48.6,gen,AUSA,GEN,72.8,29937,49.36,False
196,1972,2,m,CPI,14216,48.6,gen,AUSA,GEN,23.44,11935,19.68,False
196,1972,3,m,BJS,2281,48.6,gen,AUSA,GEN,3.76,0,0.0,False
197,1972,1,m,INC,34144,48.6,gen,NILANGA,GEN,50.08,4086,5.99,False
197,1972,2,m,PWP,30058,48.6,gen,NILANGA,GEN,44.08,27410,40.2,False
197,1972,3,m,IND,2648,48.6,gen,NILANGA,GEN,3.88,1315,1.93,False
198,1972,1,m,INC,34867,48.6,gen,OMERGA,GEN,64.64,19305,35.79,False
198,1972,2,m,PWP,15562,48.6,gen,OMERGA,GEN,28.85,13429,24.9,False
198,1972,3,m,BJS,2133,48.6,gen,OMERGA,GEN,3.95,756,1.4,False
199,1972,1,m,INC,33077,48.6,gen,TULJAPUR,GEN,69.86,20578,43.46,False
199,1972,2,m,PWP,12499,48.6,gen,TULJAPUR,GEN,26.4,10727,22.66,False
199,1972,3,m,IND,1772,48.6,gen,TULJAPUR,GEN,3.74,0,0.0,False
200,1972,1,m,INC,41268,48.6,gen,AKKALKOT,GEN,69.61,23926,40.36,False
200,1972,2,m,RPI,17342,48.6,gen,AKKALKOT,GEN,29.25,16670,28.12,False
200,1972,3,m,IND,672,48.6,gen,AKKALKOT,GEN,1.13,0,0.0,False
201,1972,1,m,INC,48294,48.6,gen,SOUTH SHOLAPUR,GEN,91.22,44479,84.01,True
201,1972,2,m,RPI,3815,48.6,gen,SOUTH SHOLAPUR,GEN,7.21,2979,5.63,False
201,1972,3,m,SWA,836,48.6,gen,SOUTH SHOLAPUR,GEN,1.58,0,0.0,False
202,1972,1,m,INC,26529,48.6,gen,SHOLAPUR CITY SOUTH,GEN,56.94,17284,37.1,False
202,1972,2,m,IND,9245,48.6,gen,SHOLAPUR CITY SOUTH,GEN,19.84,272,0.58,False
202,1972,3,m,HMS,8973,48.6,gen,SHOLAPUR CITY SOUTH,GEN,19.26,7751,16.64,False
203,1972,1,m,INC,25364,48.6,gen,SHOLAPUR CITY NORTH,GEN,47.58,4063,7.62,False
203,1972,2,m,CPI,21301,48.6,gen,SHOLAPUR CITY NORTH,GEN,39.96,15828,29.69,False
203,1972,3,m,BJS,5473,48.6,gen,SHOLAPUR CITY NORTH,GEN,10.27,4303,8.07,False
204,1972,1,m,INC,29978,48.6,gen,NOTH SHOLAPUR,GEN,54.9,8469,15.51,False
204,1972,2,m,IND,21509,48.6,gen,NOTH SHOLAPUR,GEN,39.39,18850,34.52,False
204,1972,3,m,IND,2659,48.6,gen,NOTH SHOLAPUR,GEN,4.87,2203,4.03,False
205,1972,1,m,INC,29372,48.6,gen,MANGALWEDHA,GEN,52.64,5271,9.45,False
205,1972,2,m,IND,24101,48.6,gen,MANGALWEDHA,GEN,43.19,21771,39.01,False
205,1972,3,m,IND,2330,48.6,gen,MANGALWEDHA,GEN,4.18,0,0.0,False
206,1972,1,m,INC,34688,48.6,gen,MOHOL,GEN,54.36,5567,8.72,False
206,1972,2,m,PWP,29121,48.6,gen,MOHOL,GEN,45.64,0,0.0,False
207,1972,1,m,INC,30743,48.6,gen,BARSI,GEN,51.74,3817,6.42,False
207,1972,2,m,PWP,26926,48.6,gen,BARSI,GEN,45.32,25975,43.72,False
207,1972,3,m,HMS,951,48.6,gen,BARSI,GEN,1.6,158,0.27,False
208,1972,1,m,INC,29233,48.6,gen,MADHA,GEN,47.94,12799,20.99,False
208,1972,2,m,PWP,16434,48.6,gen,MADHA,GEN,26.95,4385,7.19,False
208,1972,3,m,IND,12049,48.6,gen,MADHA,GEN,19.76,10142,16.63,False
209,1972,1,m,INC,34412,48.6,gen,PANDHARPUR,GEN,63.98,19497,36.25,True
209,1972,2,m,IND,14915,48.6,gen,PANDHARPUR,GEN,27.73,12565,23.36,False
209,1972,3,m,RPI,2350,48.6,gen,PANDHARPUR,GEN,4.37,395,0.73,False
210,1972,1,m,INC,33448,48.6,gen,SANGOLA,GEN,50.94,1655,2.52,False
210,1972,2,m,PWP,31793,48.6,gen,SANGOLA,GEN,48.42,31377,47.79,False
210,1972,3,m,IND,416,48.6,gen,SANGOLA,GEN,0.63,0,0.0,False
212,1972,1,m,INC,22454,48.6,gen,KARMALA,SC,71.24,14687,46.6,False
212,1972,2,m,RPK,7767,48.6,gen,KARMALA,SC,24.64,7084,22.48,False
212,1972,3,m,IND,683,48.6,gen,KARMALA,SC,2.17,70,0.22,False
213,1972,1,m,INC,35146,48.6,gen,KARJAT,GEN,80.52,26644,61.04,False
213,1972,2,m,BJS,8502,48.6,gen,KARJAT,GEN,19.48,0,0.0,False
214,1972,1,m,IND,19853,48.6,gen,SHRIGONDA,SC,53.86,4661,12.65,False
214,1972,2,m,INC,15192,48.6,gen,SHRIGONDA,SC,41.22,13378,36.3,False
214,1972,3,m,RPI,1814,48.6,gen,SHRIGONDA,SC,4.92,0,0.0,False
215,1972,1,m,IND,28406,48.6,gen,AHMEDNAGAR SOUTH,GEN,56.57,15120,30.11,False
215,1972,2,m,INC,13286,48.6,gen,AHMEDNAGAR SOUTH,GEN,26.46,8590,17.11,False
215,1972,3,m,CPI,4696,48.6,gen,AHMEDNAGAR SOUTH,GEN,9.35,2291,4.56,False
216,1972,1,m,INC,31779,48.6,gen,AHMEDNAGAR NORTH,GEN,65.99,15399,31.98,False
216,1972,2,m,CPI,16380,48.6,gen,AHMEDNAGAR NORTH,GEN,34.01,0,0.0,False
217,1972,1,m,IND,31937,48.6,gen,PATHARDI,GEN,55.45,8811,15.3,False
217,1972,2,m,INC,23126,48.6,gen,PATHARDI,GEN,40.15,20592,35.75,False
217,1972,3,m,IND,2534,48.6,gen,PATHARDI,GEN,4.4,0,0.0,False
218,1972,1,m,CPI,31329,48.6,gen,SHEVGAON,GEN,52.72,3232,5.44,False
218,1972,2,m,INC,28097,48.6,gen,SHEVGAON,GEN,47.28,0,0.0,False
219,1972,1,m,INC,30276,48.6,gen,SHRIRAMPUR,GEN,53.33,7926,13.96,False
219,1972,2,m,IND,22350,48.6,gen,SHRIRAMPUR,GEN,39.37,18634,32.82,False
219,1972,3,m,RPI,3716,48.6,gen,SHRIRAMPUR,GEN,6.55,3283,5.78,False
220,1972,1,m,IND,38745,48.6,gen,SHIRDI,GEN,52.51,5693,7.72,False
220,1972,2,m,INC,33052,48.6,gen,SHIRDI,GEN,44.8,31500,42.69,False
220,1972,3,m,BJS,1552,48.6,gen,SHIRDI,GEN,2.1,1227,1.66,False
221,1972,1,m,CPI,28939,48.6,gen,RAHURI,GEN,53.31,3875,7.14,False
221,1972,2,m,INC,25064,48.6,gen,RAHURI,GEN,46.17,24786,45.66,False
221,1972,3,m,IND,278,48.6,gen,RAHURI,GEN,0.51,0,0.0,False
222,1972,1,m,INC,25900,48.6,gen,PARNER,GEN,51.33,1340,2.66,False
222,1972,2,m,IND,24560,48.6,gen,PARNER,GEN,48.67,0,0.0,False
223,1972,1,m,INC,47634,48.6,gen,SANGAMNER,GEN,77.17,36974,59.9,False
223,1972,2,m,IND,10660,48.6,gen,SANGAMNER,GEN,17.27,7669,12.42,False
223,1972,3,m,BJS,2991,48.6,gen,SANGAMNER,GEN,4.85,2552,4.13,False
224,1972,1,m,INC,30445,48.6,gen,NAGAR AKOLA,ST,66.46,18963,41.4,False
224,1972,2,m,CPI,11482,48.6,gen,NAGAR AKOLA,ST,25.06,7600,16.59,False
224,1972,3,m,SOP,3882,48.6,gen,NAGAR AKOLA,ST,8.47,0,0.0,False
225,1972,1,m,INC,25542,48.6,gen,JUNNAR,GEN,55.76,6102,13.32,False
225,1972,2,m,SOP,19440,48.6,gen,JUNNAR,GEN,42.44,18612,40.63,False
225,1972,3,m,IND,828,48.6,gen,JUNNAR,GEN,1.81,0,0.0,False
226,1972,1,m,IND,38908,48.6,gen,AMBEGAON,GEN,75.82,26843,52.31,False
226,1972,2,m,INC,12065,48.6,gen,AMBEGAON,GEN,23.51,11723,22.85,False
226,1972,3,m,IND,342,48.6,gen,AMBEGAON,GEN,0.67,0,0.0,False
227,1972,1,m,INC,31874,48.6,gen,KHED ALANDI,GEN,53.35,4008,6.71,False
